"x","y"
1e+15,7170.4
1.12332e+15,7121.81
1.26186e+15,7071.51
1.41747e+15,7019.48
1.59228e+15,6965.69
1.78865e+15,6910.12
2.00923e+15,6852.75
2.25702e+15,6793.56
2.53536e+15,6732.54
2.84804e+15,6669.69
3.19927e+15,6605
3.59381e+15,6538.47
4.03702e+15,6470.1
4.53488e+15,6399.91
5.09414e+15,6327.9
5.72237e+15,6254.11
6.42807e+15,6178.55
7.22081e+15,6101.25
8.11131e+15,6022.26
9.11163e+15,5941.61
1.02353e+16,5859.36
1.14976e+16,5775.56
1.29155e+16,5690.26
1.45083e+16,5603.54
1.62975e+16,5515.47
1.83074e+16,5426.12
2.05651e+16,5335.58
2.31013e+16,5243.94
2.59502e+16,5151.29
2.91505e+16,5057.73
3.27455e+16,4963.35
3.67838e+16,4868.28
4.13201e+16,4772.6
4.64159e+16,4676.45
5.21401e+16,4579.92
5.85702e+16,4483.14
6.57933e+16,4386.23
7.39072e+16,4289.29
8.30218e+16,4192.46
9.32603e+16,4095.84
1.04762e+17,3999.55
1.17681e+17,3903.72
1.32194e+17,3808.44
1.48497e+17,3713.83
1.6681e+17,3620.01
1.87382e+17,3527.06
2.1049e+17,3435.09
2.36449e+17,3344.2
2.65609e+17,3254.47
2.98365e+17,3165.99
3.3516e+17,3078.83
3.76494e+17,2993.08
4.22924e+17,2908.8
4.75081e+17,2826.06
5.3367e+17,2744.9
5.99484e+17,2665.39
6.73415e+17,2587.55
7.56463e+17,2511.45
8.49753e+17,2437.09
9.54548e+17,2364.53
1.07227e+18,2293.76
1.2045e+18,2224.82
1.35305e+18,2157.71
1.51991e+18,2092.44
1.70735e+18,2029.01
1.91791e+18,1967.42
2.15443e+18,1907.66
2.42013e+18,1849.72
2.71859e+18,1793.59
3.05386e+18,1739.24
3.43047e+18,1686.66
3.85353e+18,1635.83
4.32876e+18,1586.7
4.8626e+18,1539.27
5.46228e+18,1493.49
6.13591e+18,1449.34
6.89261e+18,1406.78
7.74264e+18,1365.77
8.69749e+18,1326.28
9.7701e+18,1288.27
1.0975e+19,1251.71
1.23285e+19,1216.55
1.38489e+19,1182.75
1.55568e+19,1150.29
1.74753e+19,1119.1
1.96304e+19,1089.17
2.20513e+19,1060.44
2.47708e+19,1032.89
2.78256e+19,1006.46
3.12572e+19,981.132
3.51119e+19,956.855
3.94421e+19,933.598
4.43062e+19,911.323
4.97702e+19,889.995
5.59081e+19,869.579
6.28029e+19,850.041
7.0548e+19,831.348
7.92483e+19,813.468
8.90215e+19,796.369

